name,symbol,instrument type,exchange,industry
Close Brothers Group PLC,CBG.L,Stocks,London,Financial
Dunelm Group PLC,DNLM.L,Stocks,London,Financial
Vistry Group PLC,VTY.L,Stocks,London,Financial
Galliford Try PLC,GFRD.L,Stocks,London,ConsumerGoods
Ashmore Group PLC,ASHM.L,Stocks,London,Financial
Thomas Cook Group PLC,TCG.L,Stocks,London,ConsumerGoods
Genus PLC,GNS.L,Stocks,London,Financial
Serco Group PLC,SRP.L,Stocks,London,BasicMaterials
Petra Diamonds Ltd,PDL.L,Stocks,London,Utilities
Nostrum Oil & Gas PLC,NOG.L,Stocks,London,Financial
HarbourVest Global Private Equity Ltd,HVPE.L,Stocks,London,BasicMaterials
KAZ Minerals PLC,KAZ.L,Stocks,London,Healthcare
Firstgroup PLC,FGP.L,Stocks,London,Utilities
Capricorn Energy PLC,CNE.L,Stocks,London,ConsumerGoods
BTG PLC,BTG.L,Stocks,London,Financial
Fidelity Emerging Markets Limited ,FEML.L,Stocks,London,ConsumerGoods
Wizz Air Holdings Plc,WIZZ.L,Stocks,London,ConsumerGoods
Ocado Group PLC,OCDO.L,Stocks,London,BasicMaterials
Sirius Minerals PLC,SXX.L,Stocks,London,Financial
Metro Bank PLC,MTRO.L,Stocks,London,Technology
AVEVA Group PLC,AVV.L,Stocks,London,ConsumerGoods
Vectura Group PLC,VEC.L,Stocks,London,Financial
Pershing Square Holdings Ltd,PSH.L,Stocks,London,Financial
Virgin Money UK,VMUK.L,Stocks,London,Services
Just Eat PLC,JE.L,Stocks,London,Financial
IP Group PLC,IPO.L,Stocks,London,ConsumerGoods
VinaCapital Vietnam Opportunity Fund,VOF.L,Stocks,London,Financial
TI Fluid Systems,TIFS.L,Stocks,London,ConsumerGoods
Superdry,SDRY.L,Stocks,London,ConsumerGoods
Sequoia Economic Infrastructure Income Fund,SEQI.L,Stocks,London,Financial
Schroder AsiaPacific Fund,SDP.L,Stocks,London,Financial
RHI Magnesita,RHIM.L,Stocks,London,BasicMaterials
Renewi,RWI.L,Stocks,London,BasicMaterials
Purecircle,PURE.L,Stocks,London,ConsumerGoods
Vanquis Banking Group PLC,VANQ.L,Stocks,London,Financial
Primary Health Properties,PHP.L,Stocks,London,Financial
Pantheon International,PIN.L,Stocks,London,Financial
On the Beach,OTB.L,Stocks,London,ConsumerGoods
Merlin Entertainments,MERL.L,Stocks,London,ConsumerGoods
European Opportunities Trust,EOT.L,Stocks,London,Financial
Games Workshop,GAW.L,Stocks,London,ConsumerGoods
Equiniti,EQN.L,Stocks,London,ConsumerGoods
Edinburgh Dragon Trust,DGN.L,Stocks,London,Financial
ConvaTec,CTEC.L,Stocks,London,ConsumerGoods
ContourGlobal,GLO.L,Stocks,London,Utilities
Charter Court Financial Services,CCFS.L,Stocks,London,Financial
BCA Marketplace,BCA.L,Stocks,London,ConsumerGoods
Bakkavor,BAKK.L,Stocks,London,ConsumerGoods
Evoke PLC,EVOK.L,Stocks,London,Technology
iShares US Aggregate Bond UCITS ETF,IUAA.L,ETF,London,Financial
Spirent Communications PLC,SPT.L,Stocks,London,Services
SPDR S&P 500 UCITS ETF,SPY5.L,ETF,London,Financial
SPDR S&P US Dividend Aristocrats UCITS ETF,UDVD.L,ETF,London,Financial
iShares $ Corporate Bond UCITS ETF,LQDE.L,ETF,London,Financial
iShares AEX UCITS ETF,IAEX.L,ETF,London,Financial
iShares Asia Pacific Dividend UCITS ETF,IAPD.L,ETF,London,Financial
iShares Core MSCI World UCITS ETF,SWDA.L,ETF,London,Financial
iShares J.P. Morgan EM Local Govt Bond UCITS ETF ,IEML.L,ETF,London,Financial
iShares Core FTSE 100 UCITS ETF (Dist),ISF.L,ETF,London,Financial
iShares FTSE MIB UCITS ETF (Dist),IMIB.L,ETF,London,Financial
iShares J.P. Morgan $ Emerging Markets Bond UCITS ETF,SEMB.L,ETF,London,Financial
iShares MSCI AC Far East ex-Japan UCITS ETF,IFFF.L,ETF,London,Financial
iShares MSCI Brazil UCITS ETF (Dist),IBZL.L,ETF,London,Financial
